
============================================================
📁 ARQUIVO: LIFE_UHD_-_ARES_PLAY_-__ARES_PLAY_TESTE_-_CADULTOS_[20-01-2026_06h40].m3u
📅 DATA: 20/01/2026 06:40
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 388530 itens.

============================================================
📁 ARQUIVO: LIFE_UHD_-_ARES_PLAY_-__ARES_PLAY_TESTE_-_CADULTOS_[21-01-2026_00h23].m3u
📅 DATA: 21/01/2026 00:23
------------------------------------------------------------
🟢 ENTRARAM (235):
   + [Sem Categoria] (  4K  )⚽ Real Madrid x Monaco ⏰ 17:00  TNT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Novatas do Porno  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; O Fenomeno Voltou  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; O Rei das Mulheres  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; O Show de Luanda Boaz  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Paraiso das Bundas  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Pecadora  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Quinteto Sexual  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Redondinho de 4  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Regininha PolterGeist  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Salada De Frutas  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Show de Bundas 2  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Show de Orgias  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Teste de Atriz  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Trepada Interracial  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Vizinhas Gostosas 1  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas; Yumi Saito vs. a Nova Fernandinha Fernandez  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas;5 Vezes Mais Sexo  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas;Triplex Anal 3  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Brasileirinhas;Turbinadas  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Canal Goat 01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Canal Goat 02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Canal Goat 03  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] CazeTV 01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] CazeTV 01 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] CazeTV 02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] CazeTV 02 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] CazeTV 03  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Combate FHD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Combate HD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Combate SD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Disney+ 1  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Disney+ 2  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Disney+ 3  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Disney+ 4  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Disney+ 5  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] HENTAI - TUFOS  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 01 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 02 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 03  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 03 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 04  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 04 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 05  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 05 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] MAX 06  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] PLAYBOY_HD_720p  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 1  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 1 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 2  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 2 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 3  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 3 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 4  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] Paramount+ 4 ALT  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] SEX PRIVE_HD_720p  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] SEXTREME_HD_720p  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] SEXY HOT_HD_720p  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] SportyNet 01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] SportyNet 02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] SportyNet 03  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] UFC Fight Pass 1 (reprises)  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] UFC Fight Pass 2 (ao vivo)  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] UFC Fight Pass 3 (ao vivo)  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] VENUS_HD_720p  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 03  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 04  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 05  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 06  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 07  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 08  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 09  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] XXX 10  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ✓ Tnt FHD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ✓ Tnt HD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ✓ Tnt SD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Abella Olsen  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Ahjaponesa  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Allan Dellon  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Ana Carioca  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Andressa Urach  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Ariel Siren  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-01  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-02  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-03  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-04  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-05  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-06  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-07  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-08  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-09  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-10  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-11  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-12  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-13  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-14  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-15  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brasileirinhas-16  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Brida Nunes  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Combate 4K  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ DANIELA MATARAZZO  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Danny Mancini  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Debora Peixoto  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Drii Cordeiro  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Elisa Sanches  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Fadynha  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Fernanda-Ribeiro  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ GE TV FHD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ GE TV HD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ GE TV SD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Globo play Novelas FHD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Globo play Novelas HD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Globo play Novelas SD  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ HENTAI DESENHOS ANIMADOS  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Japinha Da Mansão  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Julyana Rose  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Katty Blake  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Lauren Cat  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Luiza Marcato  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Mari Avila  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Martina Smeraldi  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Mirella Mansur  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV As Pistas de Blue  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Cine Família  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Classic Nick  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Filmes Suspense  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Investigação  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV MTV  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Natureza  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Nick Jr. Club  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Porta dos Fundos  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Retrô  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ Pluto TV Vida Real  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ X-SPORTS 1  | (1ª vez: 21/01/2026 00:23)
   + [Sem Categoria] ❆ X-SPORTS 2  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ELITE 01  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ELITE 02  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ELITE 03  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] GAME OF THRONES 01  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] GAME OF THRONES 02  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] GAME OF THRONES 03  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] PRISON BREAKE 01  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] PRISON BREAKE 02  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] PRISON BREAKE 03  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] Peaky Blinders  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] SEPERNATURAL  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] THE WALKING DEAD 01  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] THE WALKING DEAD 02  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] THE WALKING DEAD 03  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] THE WALKING DEAD 04  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ Breaking Bad  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ Bridgerton  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ Reacher  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ Round 6  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ The Last of US  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ Wandinha  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆ Yellowstone  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Adolescência  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Dexter Ressureição  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Os Donos do Jogo  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Stranger Things - TEMP1  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Stranger Things - TEMP2  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Stranger Things - TEMP3  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Stranger Things - TEMP4  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Stranger Things - TEMP5  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ The Boys  | (1ª vez: 21/01/2026 00:23)
   + [⏰ CANAIS 24h SERIES TOP] ❆⭐ Tremembé  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Amadoras ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Anal ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Asiáticas ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Boquete ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Gordelicia ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Lesbica ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Loira ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Morena ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Ruiva ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Siririca ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Acervo+18] ❆ Suruba ACERVO  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Alessandra Marques  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Andressa Mancine  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Bianca Naldy  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Cleo Cadillac  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Dani Cardillo  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Francine Ferrari  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Francis Simas  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Inês Ventura  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Julia Fontanneli  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Melissa Devassa  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Mya Milf  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Rafaela Dennardin  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Sabrina Fit  | (1ª vez: 21/01/2026 00:23)
   + [⛔Coroas +18] ❆ Vivi Guedez  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Bya Ruiva  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Charmille Roussenq  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Gabbie Luna  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Gabily Castro  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Karol Redxx  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ May Akemi  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Nick Niquita  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Pamela Pantera  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆ Vivian Lola  | (1ª vez: 21/01/2026 00:23)
   + [⛔Novinhas +18] ❆Lina Nakamura  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ As Caças Fantasmas  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Atividade Paranormal  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Barbie No Mundo Porno  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Batman vs Superman  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Capitão America  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Cinderela  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Crespusculo  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Esquadrão Suicida  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Harry Potter  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Homem Aranha  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ O Coringa e Arlequina  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Os Flintstones  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Scooby-Doo  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Tomb Raider  | (1ª vez: 21/01/2026 00:23)
   + [⛔Parodias Eroticas +18] ❆ Xena - A Princesa Guerreira  | (1ª vez: 21/01/2026 00:23)

🔴 SAÍRAM (98):
   - [Sem Categoria] ELITE 01  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ELITE 02  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ELITE 03  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] GAME OF THRONES 01  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] GAME OF THRONES 02  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] GAME OF THRONES 03  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] PRISON BREAKE 01  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] PRISON BREAKE 02  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] PRISON BREAKE 03  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] THE WALKING DEAD 01  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] THE WALKING DEAD 02  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] THE WALKING DEAD 03  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] THE WALKING DEAD 04  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ Breaking Bad  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ Bridgerton  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ Reacher  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ Round 6  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ The Last of US  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ Wandinha  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆ Yellowstone  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Adolescência  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Dexter Ressureição  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Os Donos do Jogo  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Stranger Things - TEMP1  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Stranger Things - TEMP2  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Stranger Things - TEMP3  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Stranger Things - TEMP4  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Stranger Things - TEMP5  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ The Boys  | (Visto em: 20/01/2026 06:40)
   - [Sem Categoria] ❆⭐ Tremembé  | (Visto em: 20/01/2026 06:40)
   - [⏰ Canais 24 horas] Peaky Blinders  | (Visto em: 20/01/2026 06:40)
   - [⏰ Canais 24 horas] Supernatural 24 horas  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV As Pistas de Blue  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Cine Família  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Classic Nick  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Filmes Suspense  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Investigação  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV MTV  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Natureza  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Nick Jr. Club  | (Visto em: 20/01/2026 06:40)
   - [▶️ Canais I Pluto Tv] ❆ Pluto TV Porta dos Fundos  | (Visto em: 20/01/2026 06:40)
