
============================================================
📁 ARQUIVO: GLOBAL__IPTV_3__-__TESTE_3HRS__COMPLETO_[19-01-2026_22h19].m3u
📅 DATA: 19/01/2026 22:19
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 351389 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_3__-__TESTE_3HRS__COMPLETO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (62):
   + [◾ Filmes | Animação] Yu-Gi-Oh! Vínculos Além Do Tempo  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E01  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E02  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E03  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E04  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E05  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E06  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E07  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E08  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E09  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E10  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E11  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E12  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E13  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E14  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E15  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E16  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E17  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E18  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E19  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E20  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E21  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E22  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E23  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E24  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E25  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E26  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E27  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E28  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E29  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E30  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E31  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E32  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E33  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E34  | (1ª vez: 20/01/2026 17:32)
   + [◾ Séries | Drama] A força do amor S01E35  | (1ª vez: 20/01/2026 17:32)

🔴 SAÍRAM (67):
   - [◾ Filmes | Animação] Yu-Gi-Oh! Vínculos Além do Tempo  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Disney] Diário de um Banana  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Disney] Moulin Rouge: Amor em Vermelho (2001)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Hbo Max] Sem Saida (2023)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Hbo Max] Tao Legal Quanto Você (2020)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Legendado] Hora Do Massacre [L]  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Legendado] Judas e o Messias Negro [L]  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Legendado] Terror no Estúdio 666 [L]  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Legendado] Water and Fire [L]  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Legendado] Zumbilândia [L]  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Looke] Loucos por Dinheiro  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Looke] O Vôo da Fênix  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Música] O Natal Extraordinário de Zoey  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Netflix] A Ligação (2020)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Netflix] Campeonato Dos Sonhos (2023)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Netflix] O Melhor Do Mundo  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Netflix] Tres Estranhos Identicos (2018)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] A Vingança Esta Servida (2023)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Amor bandido (2025)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Bolos e Amizades (2023)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Contra o Tempo (2003)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Convenção das Bruxas  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Encontros e Desencontros  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Esquadrao Suicida (2021)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] LOLA  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Meu Amigo Robo (2023)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Noites de Tormenta (2008)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] O Último Dragão  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Os Pássaros (1963)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Sra Harris Vai a Paris (2022)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] Van Helsing: O Caçador de Monstros (2004)  | (Visto em: 19/01/2026 22:19)
   - [◾ Filmes | Prime Video] É Tempo de Amar (2021)  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E01  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E02  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E03  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E04  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E05  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E06  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E07  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E08  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E09  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E10  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E11  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E12  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E13  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E14  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E15  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E16  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E17  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E18  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E19  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E20  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E21  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E22  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E23  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E24  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E25  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E26  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E27  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E28  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E29  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E30  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E31  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E32  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E33  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E34  | (Visto em: 19/01/2026 22:19)
   - [◾ Séries | Drama] A Forca do Amor S01E35  | (Visto em: 19/01/2026 22:19)
