
============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Sem_Adultos_[19-01-2026_01h12].m3u
📅 DATA: 19/01/2026 01:12
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 329669 itens.

============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Sem_Adultos_[19-01-2026_07h14].m3u
📅 DATA: 19/01/2026 07:14
------------------------------------------------------------
✅ SEM MUDANÇAS NA GRADE.

============================================================
📁 ARQUIVO: Lider_-__LITE_-_Completo_Sem_Adultos_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
🟢 ENTRARAM (110):
   + [✅️ PEDIDOS] Fallout (2024) S02E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Pluribus S01E09  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S01E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S02E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Teerã (2020) S03E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Terra de Pecados (2026) S01E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Terra de Pecados (2026) S01E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Terra de Pecados (2026) S01E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Terra de Pecados (2026) S01E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Terra de Pecados (2026) S01E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E09  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S01E10  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E09  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S02E10  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E09  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S03E10  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E09  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S04E10  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E01  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E02  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E03  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E04  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E05  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E06  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E07  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E08  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E09  | (1ª vez: 19/01/2026 21:06)
   + [✅️ PEDIDOS] Você S05E10  | (1ª vez: 19/01/2026 21:06)
