============================================================
          RELATÓRIO DE SÉRIES: TEMPORADAS E EPISÓDIOS
 Termo: town doctor
 Data:  15/01/2026 17:46:50
============================================================

📊 RESUMO DE ATUALIZAÇÕES (POR SERVIDOR):
 > [SERVER: -_TESTE_COMPLETO_-_SMART_TVS_(_LG__SAMSUNG__ROKU_).m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineFlix_-__RYZEN_-_Teste_IPTV_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: CineFlix_-__SH-SERVER_-_Teste_C_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: CineFlix_-__SH-SERVER_-_Teste_S_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: CineFlix_-__Thunder_PLAY_-_Teste_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: CineFlix_-__Thunder_PLAY_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: CineFlix_-__VOLTZ_-_Teste_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: CineFlix_-__VOLTZ_-_Teste_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: CineMania_-__Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: CineMania_-__Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: EVOLUTION_-_BOX_-__Teste_Completo_CAdultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: EVOLUTION_-_BOX_-__Teste_Completo_SAdultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: EVOLUTION_-_EVO_PRIME_-__Teste_-18.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_2_-_TESTE_1HR__COMPLETO.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_2_-_TESTE_1HR__SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_2_-_TESTE_3HRS__COMPLETO.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_2_-_TESTE_3HRS__SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_2_-_TESTE_6HRS__COMPLETO.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_3_-_TESTE_1HR__COMPLETO.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_3_-_TESTE_1HR__SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_3_-_TESTE_3HRS__COMPLETO.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_3_-_TESTE_3HRS__SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_3_-_TESTE_6HRS__COMPLETO.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_3_-_TESTE_6HRS__SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: GLOBAL__IPTV_4_-_TESTE_1HR__COMPLETO.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: GLOBAL__IPTV_4_-_TESTE_1HR__SEM_ADULTOS.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: GLOBAL__IPTV_4_-_TESTE_3HRS__COMPLETO.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: GLOBAL__IPTV_4_-_TESTE_3HRS__SEM_ADULTOS.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: GLOBAL__IPTV_4_-_TESTE_6HRS__COMPLETO.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: GLOBAL__IPTV_4_-_TESTE_6HRS__SEM_ADULTOS.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: HAVOK_TV_-_ANDROMEDA_-__[Teste_04h]_-_Andromeda.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: HAVOK_TV_-_FNIX_-__[Teste_04h]_-_Fnix.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: HAVOK_TV_-_KLAUS_-__[Teste_04h]_-_Klaus.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: HAVOK_TV_-_KYROS_-__[Teste_04h]_-_Kyros.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: HAVOK_TV_-_MAGNUS_-__[Teste_6h]_-_Magnus.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: HAVOK_TV_-_NEON_-__[Teste_6h]_-_Neon.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: HAVOK_TV_-_OMEGA_-__[Teste_04h]_-_Omega.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: HAVOK_TV_-_ORION_-__[Teste_04h]_-_Orion.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: HAVOK_TV_-_SHAZAM_-__[Teste_04h]_-_Shazam.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: HAVOK_TV_-_TIGER_-__[Teste_06h]_-_Tiger.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: HAVOK_TV_-_VORNAK_-__[Teste_04h]_-_Vornak.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: HAVOK_TV_-_ZAYDA_-__[Teste_04h]_-_Zayda.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Infrax_-__LUVEM_-_Teste_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Infrax_-__LUVEM_-_Teste_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-_1_ONE_-_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-_1_ONE_-_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__ALPHA_-_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__ALPHA_-_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__Fire_PLAY_-_TURBO_-_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__Fire_PLAY_-_TURBO_-_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__LITE_-_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__LITE_-_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Lider_-__MAX_-_Completo_Com_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Lider_-__MAX_-_Completo_Sem_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Lider_-__SHOW_-_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: Lider_-__SHOW_-_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: LIFE_UHD_-_ARES_PLAY_-_ARES_PLAY_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_ARES_PLAY_-_ARES_PLAY_TESTE_-_sADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_CINEMAX_-__CINEMAX_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_CINEMAX_-__CINEMAX_TESTE_-_sADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_GreenTv_-_GREEN_PLAY_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_GreenTv_-_GREEN_PLAY_TESTE_-_SADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_GTA_PLAYER_-__GTA_PLAYER_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_GTA_PLAYER_-__GTA_PLAYER_TESTE_-_SADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_K9_PLAY_-__K9_PLAY_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_K9_PLAY_-__K9_PLAY_TESTE_-_sADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_RedPlay_-_RedPlay_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: LIFE_UHD_-_RedPlay_-_RedPlay_TESTE_-_sADULTOS.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: LIFE_UHD_-_TOPD+_-__TOPD+_PLAY_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_TOPD+_-__TOPD+_PLAY_TESTE_-_sADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_TURBO_FLIX_-__TURBO_FLIX_TESTE_-_CADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: LIFE_UHD_-_TURBO_FLIX_-__TURBO_FLIX_TESTE_-_sADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-_7_SEVEN_-_Teste_C_Adultos_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-_7_SEVEN_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-_7_SEVEN_-_Teste_S_Adultos_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-_7_SEVEN_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-__ANDRMEDA_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__ANDRMEDA_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__ATENA_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__ATENA_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__EXPLOSION_-_Teste_Completo_2H_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__EXPLOSION_-_Teste_Completo_2H_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__EXPLOSION_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__EXPLOSION_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__FIRE_-_Teste_12H_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__FIRE_-_Teste_12H_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__GALAXY_-_Teste_C_Adultos_12_Horas.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: NetPlay_-__GALAXY_-_Teste_C_Adulto_12_Horas.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: NetPlay_-__GALAXY_-_Teste_S_Adultos_12_Horas.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: NetPlay_-__GALAXY_-_Teste_S_Adulto_12_Horas.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: NetPlay_-__HADES_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-__HADES_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-__LUNAR_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__LUNAR_-_Teste_C_Adulto_2_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__LUNAR_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__LUNAR_-_Teste_S_Adulto_2_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__OLYMPUS_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__OLYMPUS_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__SKY_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__SKY_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__SOLAR_-_Teste_12_Horas_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-__SOLAR_-_Teste_12_Horas_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: NetPlay_-__SPEED_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__SPEED_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__TIT_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__TIT_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__URANO_-_Teste_C_Adulto_12_Horas.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: NetPlay_-__URANO_-_Teste_S_Adultos_12_Horas.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: NetPlay_-__VNUS_-_Teste_C_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: NetPlay_-__VNUS_-_Teste_S_Adulto_12_Horas.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: New-Servers_-_AtivaBox_-_COMPLETO_COM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: New-Servers_-_AtivaBox_-_COMPLETO_SEM_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: P2VIP_-__Teste_Completo_C_Adulto.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: P2VIP_-__Teste_Completo_S_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: PRIME_LUX_-_PRIMEBLACK_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIMEBLACK_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIMEGOLD_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIMEGOLD_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIMEHUB_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: PRIME_LUX_-_PRIMEHUB_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: PRIME_LUX_-_PRIMEMAX_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: PRIME_LUX_-_PRIMEMAX_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: PRIME_LUX_-_PRIMEONE_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIMEONE_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIMEULTRA_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: PRIME_LUX_-_PRIMEULTRA_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: PRIME_LUX_-_PRIME_X__-__TESTE_IPTV_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIME_X__-__TESTE_IPTV_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIME_ZEROUM__-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIME_ZEROUM__-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIME_Z_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: PRIME_LUX_-_PRIME_Z_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Pro_Black_-__Teste_Completo_Com_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Pro_Black_-__Teste_Completo_S_Adulto.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Servidor_X_-__AtivaBox_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Servidor_X_-__AtivaBox_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Servidor_X_-__Caracol.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: Servidor_X_-__Caracol_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: Servidor_X_-__NetTurbo.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Servidor_X_-__OpenBox.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Servidor_X_-__OpenBox_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Servidor_X_-__P2Box.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Servidor_X_-__P2Box_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__GOLD_-_Teste_Completo_C_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__GOLD_-_Teste_Completo_S_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__HD_-_Teste_Completo_C_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__HD_-_Teste_Completo_S_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__NEW_-_Teste_Completo_C_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__NEW_-_Teste_Completo_S_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__PLAY_-_Teste_Completo_C_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Social_Master_-__PLAY_-_Teste_Completo_S_Adulto.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: SUBZERO_-_FNIX_-__TESTE_COMPLETO_C_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: SUBZERO_-_FNIX_-__TESTE_COMPLETO_S_ADULTOS.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: Thunder_-__Completo_Com_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Thunder_-__Completo_Sem_Adultos.m3u] -> 2ª Temp | Ep mais alto: 17
 > [SERVER: Top_Z_-__Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: Top_Z_-__Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 37
 > [SERVER: VelozNet_-__MeuServidor_TV_-_Completo_Com_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: VelozNet_-__MeuServidor_TV_-_Completo_Sem_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: x_-.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: ZEROUM_-_UCAST_PLAY_-__Teste_IPTV_Completo_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: ZEROUM_-_UCAST_PLAY_-__Teste_IPTV_Completo_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: ZEROUM_-__Teste_IPTV_Completo_C_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39
 > [SERVER: ZEROUM_-__Teste_IPTV_Completo_S_Adultos.m3u] -> 1ª Temp | Ep mais alto: 39

============================================================

📝 LISTAGEM COMPLETA DOS ARQUIVOS ENCONTRADOS:

📁 LISTA: -_TESTE_COMPLETO_-_SMART_TVS_(_LG__SAMSUNG__ROKU_).m3u
   ├─ The Town Doctor [L] (2022) S01E01
   └─ Localizado: [ 1ª Temp | Ep: 1] em LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E02
   └─ Localizado: [ 1ª Temp | Ep: 2] em LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E03
   └─ Localizado: [ 1ª Temp | Ep: 3] em LEGENDADAS
   ------------------------------
   ├─ The Town Doctor [L] (2022) S01E05
   └─ Localizado: [ 1ª Temp | Ep: 5] em LEGENDADAS
